id,source,target,sourceLanguage,targetLanguage,level,categories,example1_source,example1_target,example2_source,example2_target
en:to-decide,to decide,decidir,en-US,es-ES,beginner,daily-life,We need to decide.,Necesitamos decidir.,,
en:to-allow,to allow,permitir,en-US,es-ES,intermediate,daily-life,We need to allow.,Necesitamos permitir.,,
en:to-promise,to promise,prometer,en-US,es-ES,advanced,daily-life,Can you promise?,¿Puedes prometer?,,
en:to-hope,to hope,esperar,en-US,es-ES,beginner,emotions,I want to hope.,Quiero esperar.,,
en:rainy,rainy,lluvioso,en-US,es-ES,beginner,weather,The room is rainy.,La habitación está lluvioso.,,
en:sunny,sunny,soleado,en-US,es-ES,intermediate,weather,That seems sunny.,Eso parece soleado.,,
en:cloudy,cloudy,nublado,en-US,es-ES,advanced,weather,It's too cloudy.,Es demasiado nublado.,,
en:windy,windy,ventoso,en-US,es-ES,beginner,weather,This is very windy.,Esto es muy ventoso.,,
en:cloud,cloud,nube,en-US,es-ES,beginner,weather,That seems cloud.,Eso parece nube.,,
en:wind,wind,viento,en-US,es-ES,intermediate,weather,This wind is new.,El viento es nuevo.,,
en:sky,sky,cielo,en-US,es-ES,advanced,nature,Where is the sky?,¿Dónde está El cielo?,,
en:earth,earth,tierra,en-US,es-ES,beginner,nature,I need the earth.,Necesito La tierra.,,
en:mountain,mountain,montana,en-US,es-ES,beginner,nature,Where is the mountain?,¿Dónde está La montana?,,
en:river,river,rio,en-US,es-ES,intermediate,nature,The river is on the table.,El rio está en la mesa.,,
en:sea,sea,mar,en-US,es-ES,advanced,nature,I love this sea.,Me encanta el mar.,,
en:beach,beach,playa,en-US,es-ES,beginner,nature,Where is the beach?,¿Dónde está La playa?,,
en:fire,fire,fuego,en-US,es-ES,beginner,nature,Where is the fire?,¿Dónde está El fuego?,,
en:ice,ice,hielo,en-US,es-ES,intermediate,nature,I lost the ice.,Perdí El hielo.,,
en:summer,summer,verano,en-US,es-ES,advanced,time,The summer is on the table.,El verano está en la mesa.,,
en:winter,winter,invierno,en-US,es-ES,beginner,time,She gave me the winter.,Ella me dio El invierno.,,
en:spring,spring,primavera,en-US,es-ES,beginner,time,I lost the spring.,Perdí La primavera.,,
en:autumn,autumn,otono,en-US,es-ES,intermediate,time,The autumn is on the table.,El otono está en la mesa.,,
en:monday,Monday,lunes,en-US,es-ES,advanced,time,The room is Monday.,La habitación está lunes.,,
en:tuesday,Tuesday,martes,en-US,es-ES,beginner,time,This is very Tuesday.,Esto es muy martes.,,
en:wednesday,Wednesday,miercoles,en-US,es-ES,beginner,time,It's too Wednesday.,Es demasiado miercoles.,,
en:thursday,Thursday,jueves,en-US,es-ES,intermediate,time,The room is Thursday.,La habitación está jueves.,,
en:friday,Friday,viernes,en-US,es-ES,advanced,time,This is very Friday.,Esto es muy viernes.,,
en:saturday,Saturday,sabado,en-US,es-ES,beginner,time,This is very Saturday.,Esto es muy sabado.,,
en:sunday,Sunday,domingo,en-US,es-ES,beginner,time,The room is Sunday.,La habitación está domingo.,,
en:breakfast,breakfast,desayuno,en-US,es-ES,intermediate,food,What's for breakfast?,¿Qué hay para el desayuno?,,
en:lunch,lunch,almuerzo,en-US,es-ES,advanced,food,Let's have lunch together.,Comamos juntos.,,
en:dinner,dinner,cena,en-US,es-ES,beginner,food,Dinner is ready.,La cena está lista.,,
en:restaurant,restaurant,restaurante,en-US,es-ES,beginner,food,We're going to a new restaurant.,Vamos a un restaurante nuevo.,,
en:market,market,mercado,en-US,es-ES,intermediate,daily-life,She gave me the market.,Ella me dio El mercado.,,
en:store,store,tienda,en-US,es-ES,advanced,daily-life,I need the store.,Necesito La tienda.,,
en:price,price,precio,en-US,es-ES,beginner,daily-life,What's the price?,¿Cuál es el precio?,,
en:pay,pay,pago,en-US,es-ES,beginner,daily-life,How much do I pay?,¿Cuánto pago?,,
en:bank,bank,banco,en-US,es-ES,intermediate,daily-life,I have to go to the bank.,Tengo que ir al banco.,,
en:hotel,hotel,hotel,en-US,es-ES,advanced,travel,We're staying at a hotel.,Nos quedamos en un hotel.,,
en:room,room,habitacion,en-US,es-ES,beginner,home,I need a quiet room.,Necesito una habitación tranquila.,,
en:floor,floor,piso,en-US,es-ES,beginner,home,We don't have the floor.,No tenemos El piso.,,
en:wall,wall,pared,en-US,es-ES,intermediate,home,The wall is important.,El pared es importante.,,
en:roof,roof,techo,en-US,es-ES,advanced,home,I love this roof.,Me encanta el techo.,,
en:stairs,stairs,escaleras,en-US,es-ES,beginner,home,I lost the stairs.,Perdí El escaleras.,,
en:light,light,luz,en-US,es-ES,beginner,home,This light is new.,El luz es nuevo.,,
en:dark,dark,oscuro,en-US,es-ES,intermediate,adjectives,She gave me the dark.,Ella me dio El oscuro.,,
en:noise,noise,ruido,en-US,es-ES,advanced,daily-life,Where is the noise?,¿Dónde está El ruido?,,
en:sound,sound,sonido,en-US,es-ES,beginner,daily-life,Where is the sound?,¿Dónde está El sonido?,,
en:voice,voice,voz,en-US,es-ES,beginner,body,I love this voice.,Me encanta el voz.,,
en:foot,foot,pie,en-US,es-ES,intermediate,body,I lost the foot.,Perdí El pie.,,
en:leg,leg,pierna,en-US,es-ES,advanced,body,I lost the leg.,Perdí La pierna.,,
en:arm,arm,brazo,en-US,es-ES,beginner,body,Where is the arm?,¿Dónde está El brazo?,,
en:finger,finger,dedo,en-US,es-ES,beginner,body,Where is the finger?,¿Dónde está El dedo?,,
en:mouth,mouth,boca,en-US,es-ES,intermediate,body,The mouth is important.,La boca es importante.,,
en:nose,nose,nariz,en-US,es-ES,advanced,body,She gave me the nose.,Ella me dio El nariz.,,
en:ear,ear,oreja,en-US,es-ES,beginner,body,The ear is important.,La oreja es importante.,,
en:hair,hair,cabello,en-US,es-ES,beginner,body,We don't have the hair.,No tenemos El cabello.,,
en:tooth,tooth,diente,en-US,es-ES,intermediate,body,I lost the tooth.,Perdí El diente.,,
en:blood,blood,sangre,en-US,es-ES,advanced,body,We don't have the blood.,No tenemos La sangre.,,
en:health,health,salud,en-US,es-ES,beginner,daily-life,Health is the most important thing.,La salud es lo más importante.,,
en:sick,sick,enfermo,en-US,es-ES,beginner,daily-life,This sick is new.,El enfermo es nuevo.,,
en:medicine,medicine,medicina,en-US,es-ES,intermediate,daily-life,Take your medicine.,Toma tu medicina.,,
en:hospital,hospital,hospital,en-US,es-ES,advanced,daily-life,She's in the hospital.,Está en el hospital.,,
en:pain,pain,dolor,en-US,es-ES,beginner,daily-life,The pain is on the table.,El dolor está en la mesa.,,
en:death,death,muerte,en-US,es-ES,beginner,daily-life,I need the death.,Necesito El muerte.,,
en:birth,birth,nacimiento,en-US,es-ES,intermediate,daily-life,I lost the birth.,Perdí El nacimiento.,,
en:baby,baby,bebe,en-US,es-ES,advanced,people,The baby is crying.,El bebé está llorando.,,
en:boy,boy,nino,en-US,es-ES,beginner,people,I lost the boy.,Perdí El nino.,,
en:girl,girl,nina,en-US,es-ES,beginner,people,This girl is new.,La nina es nueva.,,
en:grandmother,grandmother,abuela,en-US,es-ES,intermediate,family,I love this grandmother.,Me encanta la abuela.,,
en:grandfather,grandfather,abuelo,en-US,es-ES,advanced,family,She gave me the grandfather.,Ella me dio El abuelo.,,
en:husband,husband,esposo,en-US,es-ES,beginner,family,Where is the husband?,¿Dónde está El esposo?,,
en:wife,wife,esposa,en-US,es-ES,beginner,family,We don't have the wife.,No tenemos La esposa.,,
en:son,son,hijo,en-US,es-ES,intermediate,family,This son is new.,El hijo es nuevo.,,
en:daughter,daughter,hija,en-US,es-ES,advanced,family,The daughter is important.,La hija es importante.,,
en:uncle,uncle,tio,en-US,es-ES,beginner,family,I need the uncle.,Necesito El tio.,,
en:aunt,aunt,tia,en-US,es-ES,beginner,family,Do you have a aunt?,¿Tienes Una tia?,,
en:cousin,cousin,primo,en-US,es-ES,intermediate,family,I lost the cousin.,Perdí El primo.,,
en:neighbor,neighbor,vecino,en-US,es-ES,advanced,people,Where is the neighbor?,¿Dónde está El vecino?,,
en:boss,boss,jefe,en-US,es-ES,beginner,work,The boss is on the table.,El jefe está en la mesa.,,
en:employee,employee,empleado,en-US,es-ES,beginner,work,I love this employee.,Me encanta el empleado.,,
en:customer,customer,cliente,en-US,es-ES,intermediate,work,I love this customer.,Me encanta el cliente.,,
en:meeting,meeting,reunion,en-US,es-ES,advanced,work,We have a meeting at three.,Tenemos una reunión a las tres.,,
en:business,business,negocio,en-US,es-ES,beginner,work,Where is the business?,¿Dónde está El negocio?,,
en:company,company,empresa,en-US,es-ES,beginner,work,That seems company.,Eso parece empresa.,,
en:factory,factory,fabrica,en-US,es-ES,intermediate,work,That seems factory.,Eso parece fabrica.,,
en:machine,machine,maquina,en-US,es-ES,advanced,work,I need the machine.,Necesito La maquina.,,
en:tool,tool,herramienta,en-US,es-ES,beginner,work,This tool is new.,La herramienta es nueva.,,
en:idea,idea,idea,en-US,es-ES,beginner,daily-life,That's a great idea.,Es una gran idea.,,
en:plan,plan,plan,en-US,es-ES,intermediate,daily-life,Do you have a plan?,¿Tienes un plan?,,
en:project,project,proyecto,en-US,es-ES,advanced,work,I lost the project.,Perdí El proyecto.,,
en:result,result,resultado,en-US,es-ES,beginner,daily-life,I lost the result.,Perdí El resultado.,,
en:reason,reason,razon,en-US,es-ES,beginner,daily-life,She gave me the reason.,Ella me dio La razon.,,
en:example,example,ejemplo,en-US,es-ES,intermediate,education,She gave me the example.,Ella me dio El ejemplo.,,
en:story,story,historia,en-US,es-ES,advanced,culture,Tell me a story.,Cuéntame una historia.,,
en:history,history,historia,en-US,es-ES,beginner,education,It's too history.,Es demasiado historia.,,
en:culture,culture,cultura,en-US,es-ES,beginner,culture,Where is the culture?,¿Dónde está La cultura?,,
en:art,art,arte,en-US,es-ES,intermediate,culture,This art is new.,El arte es nuevo.,,
en:picture,picture,imagen,en-US,es-ES,advanced,culture,I love this picture.,Me encanta el imagen.,,
en:photo,photo,foto,en-US,es-ES,beginner,culture,It's too photo.,Es demasiado foto.,,
en:camera,camera,camara,en-US,es-ES,beginner,culture,Where is the camera?,¿Dónde está La camara?,,
en:television,television,television,en-US,es-ES,intermediate,culture,Do you have a television?,¿Tienes Un television?,,
en:radio,radio,radio,en-US,es-ES,advanced,culture,Where is the radio?,¿Dónde está El radio?,,
en:internet,internet,internet,en-US,es-ES,beginner,work,I lost the internet.,Perdí El internet.,,
en:email,email,correo,en-US,es-ES,beginner,work,Check your email.,Revisa tu correo.,,
en:message,message,mensaje,en-US,es-ES,intermediate,daily-life,Leave a message.,Deja un mensaje.,,
en:information,information,informacion,en-US,es-ES,advanced,daily-life,I need the information.,Necesito La informacion.,,
en:knowledge,knowledge,conocimiento,en-US,es-ES,beginner,education,Where is the knowledge?,¿Dónde está El conocimiento?,,
en:truth,truth,verdad,en-US,es-ES,beginner,daily-life,Tell me the truth.,Dime la verdad.,,
en:lie,lie,mentira,en-US,es-ES,intermediate,daily-life,That's a lie.,Eso es una mentira.,,
en:secret,secret,secreto,en-US,es-ES,advanced,daily-life,Can you keep a secret?,¿Puedes guardar un secreto?,,
en:dream,dream,sueno,en-US,es-ES,beginner,daily-life,I had a strange dream.,Tuve un sueño extraño.,,
en:hope,hope,esperanza,en-US,es-ES,beginner,emotions,I hope you feel better.,Espero que te sientas mejor.,,
en:fear,fear,miedo,en-US,es-ES,intermediate,emotions,Don't be afraid.,No tengas miedo.,,
en:anger,anger,ira,en-US,es-ES,advanced,emotions,Where is the anger?,¿Dónde está La ira?,,
en:joy,joy,alegria,en-US,es-ES,beginner,emotions,She gave me the joy.,Ella me dio La alegria.,,
en:peace,peace,paz,en-US,es-ES,beginner,emotions,Where is the peace?,¿Dónde está El paz?,,
en:war,war,guerra,en-US,es-ES,intermediate,daily-life,I lost the war.,Perdí La guerra.,,
en:army,army,ejercito,en-US,es-ES,advanced,daily-life,That seems army.,Eso parece ejercito.,,
en:government,government,gobierno,en-US,es-ES,beginner,daily-life,This is very government.,Esto es muy gobierno.,,
en:law,law,ley,en-US,es-ES,beginner,daily-life,We don't have the law.,No tenemos La ley.,,
en:police,police,policia,en-US,es-ES,intermediate,daily-life,I need the police.,Necesito La policia.,,
en:court,court,tribunal,en-US,es-ES,advanced,daily-life,She gave me the court.,Ella me dio El tribunal.,,
en:vote,vote,voto,en-US,es-ES,beginner,daily-life,Do you have a vote?,¿Tienes Un voto?,,
en:election,election,eleccion,en-US,es-ES,beginner,daily-life,She gave me the election.,Ella me dio La eleccion.,,
en:president,president,presidente,en-US,es-ES,intermediate,daily-life,It's too president.,Es demasiado presidente.,,
en:king,king,rey,en-US,es-ES,advanced,daily-life,The king is important.,El rey es importante.,,
en:queen,queen,reina,en-US,es-ES,beginner,daily-life,This queen is new.,La reina es nueva.,,
en:church,church,iglesia,en-US,es-ES,beginner,culture,We don't have the church.,No tenemos La iglesia.,,
en:god,god,dios,en-US,es-ES,intermediate,culture,I love this god.,Me encanta el dios.,,
en:religion,religion,religion,en-US,es-ES,advanced,culture,Where is the religion?,¿Dónde está El religion?,,
en:science,science,ciencia,en-US,es-ES,beginner,education,Where is the science?,¿Dónde está La ciencia?,,
en:technology,technology,tecnologia,en-US,es-ES,beginner,work,This is very technology.,Esto es muy tecnologia.,,
en:research,research,investigacion,en-US,es-ES,intermediate,education,The research is important.,La investigacion es importante.,,
en:nature,nature,naturaleza,en-US,es-ES,advanced,nature,This nature is new.,La naturaleza es nueva.,,
en:animal,animal,animal,en-US,es-ES,beginner,animals,It's too animal.,Es demasiado animal.,,
en:horse,horse,caballo,en-US,es-ES,beginner,animals,She loves horses.,Le encantan los caballos.,,
en:cow,cow,vaca,en-US,es-ES,intermediate,animals,We don't have the cow.,No tenemos La vaca.,,
en:pig,pig,cerdo,en-US,es-ES,advanced,animals,We don't have the pig.,No tenemos El cerdo.,,
en:chicken,chicken,pollo,en-US,es-ES,beginner,animals,We don't have the chicken.,No tenemos El pollo.,,
en:mouse,mouse,raton,en-US,es-ES,beginner,animals,The mouse is on the table.,El raton está en la mesa.,,
en:rabbit,rabbit,conejo,en-US,es-ES,intermediate,animals,Do you have a rabbit?,¿Tienes Un conejo?,,
en:lion,lion,leon,en-US,es-ES,advanced,animals,I love this lion.,Me encanta el leon.,,
en:tiger,tiger,tigre,en-US,es-ES,beginner,animals,I lost the tiger.,Perdí El tigre.,,
en:elephant,elephant,elefante,en-US,es-ES,beginner,animals,The room is elephant.,La habitación está elefante.,,
en:bear,bear,oso,en-US,es-ES,intermediate,animals,The bear is on the table.,El oso está en la mesa.,,
en:wolf,wolf,lobo,en-US,es-ES,advanced,animals,I love this wolf.,Me encanta el lobo.,,
en:snake,snake,serpiente,en-US,es-ES,beginner,animals,She gave me the snake.,Ella me dio El serpiente.,,
en:insect,insect,insecto,en-US,es-ES,beginner,animals,Do you have a insect?,¿Tienes Un insecto?,,
en:butterfly,butterfly,mariposa,en-US,es-ES,intermediate,animals,This is very butterfly.,Esto es muy mariposa.,,
en:bee,bee,abeja,en-US,es-ES,advanced,animals,Where is the bee?,¿Dónde está La abeja?,,
en:spider,spider,arana,en-US,es-ES,beginner,animals,I lost the spider.,Perdí La arana.,,
en:plant,plant,planta,en-US,es-ES,beginner,nature,This is very plant.,Esto es muy planta.,,
en:grass,grass,hierba,en-US,es-ES,intermediate,nature,I lost the grass.,Perdí La hierba.,,
en:leaf,leaf,hoja,en-US,es-ES,advanced,nature,I love this leaf.,Me encanta la hoja.,,
en:root,root,raiz,en-US,es-ES,beginner,nature,Do you have a root?,¿Tienes Un raiz?,,
en:seed,seed,semilla,en-US,es-ES,beginner,nature,That seems seed.,Eso parece semilla.,,
en:wood,wood,madera,en-US,es-ES,intermediate,nature,I love this wood.,Me encanta la madera.,,
en:stone,stone,piedra,en-US,es-ES,advanced,nature,Where is the stone?,¿Dónde está La piedra?,,
en:metal,metal,metal,en-US,es-ES,beginner,nature,This is very metal.,Esto es muy metal.,,
en:gold,gold,oro,en-US,es-ES,beginner,nature,It's too gold.,Es demasiado oro.,,
en:silver,silver,plata,en-US,es-ES,intermediate,nature,The silver is on the table.,La plata está en la mesa.,,
en:glass,glass,vidrio,en-US,es-ES,advanced,nature,I love this glass.,Me encanta el vidrio.,,
en:plastic,plastic,plastico,en-US,es-ES,beginner,nature,The room is plastic.,La habitación está plastico.,,
en:cloth,cloth,tela,en-US,es-ES,beginner,daily-life,Do you have a cloth?,¿Tienes Una tela?,,
en:clothes,clothes,ropa,en-US,es-ES,intermediate,daily-life,Do you have a clothes?,¿Tienes Una ropa?,,
en:shirt,shirt,camisa,en-US,es-ES,advanced,daily-life,Where is the shirt?,¿Dónde está La camisa?,,
en:pants,pants,pantalones,en-US,es-ES,beginner,daily-life,The pants is important.,El pantalones es importante.,,
en:dress,dress,vestido,en-US,es-ES,beginner,daily-life,I need the dress.,Necesito El vestido.,,
en:shoes,shoes,zapatos,en-US,es-ES,intermediate,daily-life,She gave me the shoes.,Ella me dio El zapatos.,,
en:hat,hat,sombrero,en-US,es-ES,advanced,daily-life,Do you have a hat?,¿Tienes Un sombrero?,,
en:coat,coat,abrigo,en-US,es-ES,beginner,daily-life,She gave me the coat.,Ella me dio El abrigo.,,
en:ring,ring,anillo,en-US,es-ES,beginner,daily-life,The ring is important.,El anillo es importante.,,
en:watch,watch,reloj,en-US,es-ES,intermediate,daily-life,I need the watch.,Necesito El reloj.,,
en:glasses,glasses,gafas,en-US,es-ES,advanced,daily-life,I lost the glasses.,Perdí El gafas.,,
en:box,box,caja,en-US,es-ES,beginner,daily-life,I need the box.,Necesito La caja.,,
en:bottle,bottle,botella,en-US,es-ES,beginner,daily-life,We don't have the bottle.,No tenemos La botella.,,
en:cup,cup,taza,en-US,es-ES,intermediate,daily-life,I lost the cup.,Perdí La taza.,,
en:plate,plate,plato,en-US,es-ES,advanced,daily-life,The plate is on the table.,El plato está en la mesa.,,
en:knife,knife,cuchillo,en-US,es-ES,beginner,daily-life,We don't have the knife.,No tenemos El cuchillo.,,
en:spoon,spoon,cuchara,en-US,es-ES,beginner,daily-life,I love this spoon.,Me encanta la cuchara.,,
en:fork,fork,tenedor,en-US,es-ES,intermediate,daily-life,Do you have a fork?,¿Tienes Un tenedor?,,
en:pot,pot,olla,en-US,es-ES,advanced,daily-life,I lost the pot.,Perdí La olla.,,
en:soap,soap,jabon,en-US,es-ES,beginner,daily-life,Where is the soap?,¿Dónde está El jabon?,,
en:bridge,bridge,puente,en-US,es-ES,beginner,travel,I love this bridge.,Me encanta el puente.,,
en:park,park,parque,en-US,es-ES,intermediate,nature,Where is the park?,¿Dónde está El parque?,,
en:square,square,plaza,en-US,es-ES,advanced,travel,I love this square.,Me encanta la plaza.,,
en:building,building,edificio,en-US,es-ES,beginner,travel,We don't have the building.,No tenemos El edificio.,,
en:tower,tower,torre,en-US,es-ES,beginner,travel,The tower is on the table.,El torre está en la mesa.,,
en:museum,museum,museo,en-US,es-ES,intermediate,culture,Where is the museum?,¿Dónde está El museo?,,
en:library,library,biblioteca,en-US,es-ES,advanced,education,That seems library.,Eso parece biblioteca.,,
en:university,university,universidad,en-US,es-ES,beginner,education,It's too university.,Es demasiado universidad.,,
en:station,station,estacion,en-US,es-ES,beginner,travel,The station is on the table.,La estacion está en la mesa.,,
en:road,road,carretera,en-US,es-ES,intermediate,travel,I lost the road.,Perdí La carretera.,,
en:map,map,mapa,en-US,es-ES,advanced,travel,Can I see the map?,¿Puedo ver el mapa?,,
en:ticket,ticket,billete,en-US,es-ES,beginner,travel,I need to buy a ticket.,Necesito comprar un billete.,,
en:passport,passport,pasaporte,en-US,es-ES,beginner,travel,Don't forget your passport.,No olvides tu pasaporte.,,
en:luggage,luggage,equipaje,en-US,es-ES,intermediate,travel,She gave me the luggage.,Ella me dio El equipaje.,,
en:trip,trip,viaje,en-US,es-ES,advanced,travel,Have a good trip!,¡Buen viaje!,,
en:travel,travel,viajar,en-US,es-ES,beginner,travel,Do you have a travel?,¿Tienes Un viajar?,,
en:visit,visit,visita,en-US,es-ES,beginner,travel,We don't have the visit.,No tenemos La visita.,,
en:direction,direction,direccion,en-US,es-ES,intermediate,travel,We don't have the direction.,No tenemos La direccion.,,
en:north,north,norte,en-US,es-ES,advanced,travel,She gave me the north.,Ella me dio El norte.,,
en:south,south,sur,en-US,es-ES,beginner,travel,I need the south.,Necesito El sur.,,
en:east,east,este,en-US,es-ES,beginner,travel,I need the east.,Necesito El este.,,
en:west,west,oeste,en-US,es-ES,intermediate,travel,The west is on the table.,El oeste está en la mesa.,,
en:center,center,centro,en-US,es-ES,advanced,travel,Do you have a center?,¿Tienes Un centro?,,
en:corner,corner,esquina,en-US,es-ES,beginner,travel,Do you have a corner?,¿Tienes Una esquina?,,
en:address,address,direccion,en-US,es-ES,beginner,daily-life,The address is on the table.,La direccion está en la mesa.,,
en:post-office,post office,correos,en-US,es-ES,intermediate,daily-life,She gave me the post office.,Ella me dio El correos.,,
en:stamp,stamp,sello,en-US,es-ES,advanced,daily-life,Where is the stamp?,¿Dónde está El sello?,,
en:package,package,paquete,en-US,es-ES,beginner,daily-life,I love this package.,Me encanta el paquete.,,
en:gift,gift,regalo,en-US,es-ES,beginner,daily-life,The gift is on the table.,El regalo está en la mesa.,,
en:surprise,surprise,sorpresa,en-US,es-ES,intermediate,daily-life,This surprise is new.,La sorpresa es nueva.,,
en:party,party,fiesta,en-US,es-ES,advanced,culture,It's too party.,Es demasiado fiesta.,,
en:birthday,birthday,cumpleanos,en-US,es-ES,beginner,culture,The room is birthday.,La habitación está cumpleanos.,,
en:holiday,holiday,festivo,en-US,es-ES,beginner,culture,That seems holiday.,Eso parece festivo.,,
en:celebration,celebration,celebracion,en-US,es-ES,intermediate,culture,Where is the celebration?,¿Dónde está La celebracion?,,
en:wedding,wedding,boda,en-US,es-ES,advanced,culture,The wedding is on the table.,La boda está en la mesa.,,
en:funeral,funeral,funeral,en-US,es-ES,beginner,culture,The room is funeral.,La habitación está funeral.,,
en:tradition,tradition,tradicion,en-US,es-ES,beginner,culture,I love this tradition.,Me encanta la tradicion.,,
en:custom,custom,costumbre,en-US,es-ES,intermediate,culture,Do you have a custom?,¿Tienes Una costumbre?,,
en:habit,habit,habito,en-US,es-ES,advanced,daily-life,I lost the habit.,Perdí El habito.,,
en:routine,routine,rutina,en-US,es-ES,beginner,daily-life,I lost the routine.,Perdí La rutina.,,
en:schedule,schedule,horario,en-US,es-ES,beginner,daily-life,We don't have the schedule.,No tenemos El horario.,,
en:appointment,appointment,cita,en-US,es-ES,intermediate,daily-life,The room is appointment.,La habitación está cita.,,
en:date,date,fecha,en-US,es-ES,advanced,daily-life,This date is new.,La fecha es nueva.,,
en:age,age,edad,en-US,es-ES,beginner,daily-life,We don't have the age.,No tenemos La edad.,,
en:phone-number,phone number,numero de telefono,en-US,es-ES,beginner,daily-life,This phone number is new.,El numero de telefono es nuevo.,,
en:password,password,contraseña,en-US,es-ES,intermediate,work,Do you have a password?,¿Tienes Una contraseña?,,
en:username,username,usuario,en-US,es-ES,advanced,work,Do you have a username?,¿Tienes Un usuario?,,
en:website,website,sitio web,en-US,es-ES,beginner,work,We don't have the website.,No tenemos El sitio web.,,
en:page,page,pagina,en-US,es-ES,beginner,daily-life,The page is important.,La pagina es importante.,,
en:screen,screen,pantalla,en-US,es-ES,intermediate,work,We don't have the screen.,No tenemos La pantalla.,,
en:button,button,boton,en-US,es-ES,advanced,work,I need the button.,Necesito El boton.,,
en:file,file,archivo,en-US,es-ES,beginner,work,We don't have the file.,No tenemos El archivo.,,
en:folder,folder,carpeta,en-US,es-ES,beginner,work,This is very folder.,Esto es muy carpeta.,,
en:document,document,documento,en-US,es-ES,intermediate,work,This is very document.,Esto es muy documento.,,
en:copy,copy,copia,en-US,es-ES,advanced,work,This is very copy.,Esto es muy copia.,,
en:print,print,imprimir,en-US,es-ES,beginner,work,Where is the print?,¿Dónde está El imprimir?,,
en:save,save,guardar,en-US,es-ES,beginner,work,I love this save.,Me encanta el guardar.,,
en:delete,delete,borrar,en-US,es-ES,intermediate,work,I lost the delete.,Perdí El borrar.,,
en:search,search,buscar,en-US,es-ES,advanced,work,Do you have a search?,¿Tienes Un buscar?,,
en:find,find,encontrar,en-US,es-ES,beginner,daily-life,I need the find.,Necesito El encontrar.,,
en:error,error,error,en-US,es-ES,beginner,work,We don't have the error.,No tenemos El error.,,
en:solution,solution,solucion,en-US,es-ES,intermediate,daily-life,This solution is new.,La solucion es nueva.,,
en:method,method,metodo,en-US,es-ES,advanced,daily-life,We don't have the method.,No tenemos El metodo.,,
en:system,system,sistema,en-US,es-ES,beginner,work,I love this system.,Me encanta el sistema.,,
en:process,process,proceso,en-US,es-ES,beginner,work,This process is new.,El proceso es nuevo.,,
en:step,step,paso,en-US,es-ES,intermediate,daily-life,This step is new.,El paso es nuevo.,,
en:part,part,parte,en-US,es-ES,advanced,daily-life,I lost the part.,Perdí La parte.,,
en:piece,piece,pedazo,en-US,es-ES,beginner,daily-life,Do you have a piece?,¿Tienes Un pedazo?,,
en:half,half,mitad,en-US,es-ES,beginner,daily-life,I need the half.,Necesito La mitad.,,
en:whole,whole,todo,en-US,es-ES,intermediate,daily-life,Do you have a whole?,¿Tienes Un todo?,,
en:group,group,grupo,en-US,es-ES,advanced,daily-life,She gave me the group.,Ella me dio El grupo.,,
en:team,team,equipo,en-US,es-ES,beginner,work,This team is new.,El equipo es nuevo.,,
en:member,member,miembro,en-US,es-ES,beginner,daily-life,Do you have a member?,¿Tienes Un miembro?,,
en:community,community,comunidad,en-US,es-ES,intermediate,daily-life,That seems community.,Eso parece comunidad.,,
en:society,society,sociedad,en-US,es-ES,advanced,daily-life,This is very society.,Esto es muy sociedad.,,
en:public,public,publico,en-US,es-ES,beginner,daily-life,It's too public.,Es demasiado publico.,,
en:private,private,privado,en-US,es-ES,beginner,daily-life,I lost the private.,Perdí El privado.,,
en:personal,personal,personal,en-US,es-ES,intermediate,daily-life,The room is personal.,La habitación está personal.,,
en:general,general,general,en-US,es-ES,advanced,adjectives,It's too general.,Es demasiado general.,,
en:special,special,especial,en-US,es-ES,beginner,adjectives,Today is a special day.,Hoy es un día especial.,,
en:normal,normal,normal,en-US,es-ES,beginner,adjectives,That's completely normal.,Eso es completamente normal.,,
en:strange,strange,extrano,en-US,es-ES,intermediate,adjectives,Where is the strange?,¿Dónde está El extrano?,,
en:usual,usual,habitual,en-US,es-ES,advanced,adjectives,This is very usual.,Esto es muy habitual.,,
en:common,common,comun,en-US,es-ES,beginner,adjectives,Do you have a common?,¿Tienes Un comun?,,
en:rare,rare,raro,en-US,es-ES,beginner,adjectives,I lost the rare.,Perdí El raro.,,
en:popular,popular,popular,en-US,es-ES,intermediate,adjectives,I lost the popular.,Perdí El popular.,,
en:famous,famous,famoso,en-US,es-ES,advanced,adjectives,It's too famous.,Es demasiado famoso.,,
en:known,known,conocido,en-US,es-ES,beginner,adjectives,This known is new.,El conocido es nuevo.,,
en:unknown,unknown,desconocido,en-US,es-ES,beginner,adjectives,The unknown is on the table.,El desconocido está en la mesa.,,
en:real,real,real,en-US,es-ES,intermediate,adjectives,Is this real?,¿Esto es real?,,
en:natural,natural,natural,en-US,es-ES,advanced,adjectives,The room is natural.,La habitación está natural.,,
en:international,international,internacional,en-US,es-ES,beginner,adjectives,This is very international.,Esto es muy internacional.,,
en:national,national,nacional,en-US,es-ES,beginner,adjectives,The room is national.,La habitación está nacional.,,
en:local,local,local,en-US,es-ES,intermediate,adjectives,That seems local.,Eso parece local.,,
en:foreign,foreign,extranjero,en-US,es-ES,advanced,adjectives,I lost the foreign.,Perdí El extranjero.,,
en:modern,modern,moderno,en-US,es-ES,beginner,adjectives,She gave me the modern.,Ella me dio El moderno.,,
en:traditional,traditional,tradicional,en-US,es-ES,beginner,adjectives,That seems traditional.,Eso parece tradicional.,,
